SHIPMT_ID,ORIG_STATE,SCTG,SHIPMT_VALUE,SHIPMT_WGHT,EXPORT_CNTRY,WGT_FACTOR
6,24,40,3716,1132,C,21.9
78,39,40,796,4,O,3099.9
163,34,36,835,29,C,314.6
231,25,37,26455,80,O,25.6
284,45,35,28325,1216,O,24.2
313,53,4,9681,50820,O,241.7
379,51,32,86479,29848,M,13.6
470,44,37,495,7,O,582.2
480,22,24,135,3,M,494.9
506,41,41,23515,28853,O,20.9
560,37,30,22422,16700,O,73.8
575,29,38,83100,1039,O,45.6
596,27,38,176,1,O,666.5
633,41,36,13171,3391,C,150.3
643,22,38,246,1,O,10.1
650,37,31,42404,39269,C,56.1
695,5,24,179,4,O,130.7
706,22,43,227726,25896,O,254.9
719,42,19,32269,35296,O,99.7
769,6,31,1027,2,O,1820.2
820,6,35,2446,33,O,361.8
831,26,24,10278,7256,M,192.2
838,55,33,362,68,O,875.6
851,36,35,2018,1,O,122.9
900,12,38,3351,69,O,3.1
918,39,24,55700,12379,O,21.6
929,48,30,10100,18703,M,134.2
968,12,37,6395,54,O,110.1
972,26,36,271,2,O,801.9
976,17,23,83461,50061,C,70.3
985,51,36,31451,8372,O,59.5
1049,26,39,1802,4504,C,282
1060,36,38,90,108,O,108.6
1095,9,40,6399,36,O,126.3
1109,5,24,175007,29005,O,80.8
1120,37,39,912,95,O,640.5
1193,26,32,2167,2438,C,558.9
1202,9,35,3410,110,O,64.7
1234,48,34,132133,52844,O,108.2
1237,42,38,8298,90,O,96.1
1238,29,43,646,20,O,241.5
1270,13,40,6979,279,C,202.9
1281,13,32,16892,4504,M,643.8
1282,18,38,15296,17,O,377.2
1295,39,40,96,1,C,1541.2
1312,20,29,452675,33043,O,38
1314,6,34,154,5,C,56.1
1368,13,39,50,387,C,1429.2
1388,32,14,46845,71745,O,55.5
1412,6,40,4842,618,O,114.2
1429,53,21,1140,92,O,170.3
1444,26,32,2450,8,O,64.5
1489,17,5,16147,43419,C,121.6
1494,39,40,2031,59,O,240.5
1534,47,32,2974,18,O,66.5
1563,55,38,479,15,M,240.8
1589,53,40,1710,25,O,25.7
1635,36,41,72369,49568,O,29.6
1660,42,40,822,313,O,78.8
1692,51,40,3132,1,O,217.9
1808,24,37,811,1,O,60.9
1833,16,26,1003,59520,C,107.4
1855,41,35,764,1,O,227.3
1862,4,43,11,11,M,23528.5
1869,4,38,20811,9,O,17.9
1899,13,13,5495,49454,O,127.3
1914,6,37,3691,2,C,2170.4
1918,40,37,281,9,O,463.3
1967,9,35,2435,30,O,168.3
1991,36,35,1539,165,O,190.5
2000,40,34,334,332,O,66.9
2044,9,40,70238,14913,O,174.6
